Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471),Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471).1,Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471).2,Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471).3,Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471).4,Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471).5,Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471).6,Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471).7,Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471).8,Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471).9,Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471).10,Local Time and Weather Around the World Sort By: CityCountryTimeTemperatureCities Shown: Capitals (215)Most Popular (143)Popular (357)Somewhat Popular (471).11
Auckland,Sun 23:58,,13 °C,Istanbul,Sun 14:58,,26 °C,Riyadh,Sun 14:58,,39 °C
Baghdad,Sun 14:58,,40 °C,Jakarta,Sun 18:58,,29 °C,Rome *,Sun 13:58,,27 °C
Bangkok,Sun 18:58,,27 °C,Jerusalem *,Sun 14:58,,32 °C,Salt Lake City *,Sun 05:58,,15 °C
Barcelona *,Sun 13:58,,26 °C,Johannesburg,Sun 13:58,,27 °C,San Francisco *,Sun 04:58,,17 °C
Beijing,Sun 19:58,,31 °C,Karachi,Sun 16:58,,30 °C,San Juan,Sun 07:58,,26 °C
Beirut *,Sun 14:58,,30 °C,Kathmandu,Sun 17:43,,24 °C,San Salvador,Sun 05:58,,23 °C
Belgrade *,Sun 13:58,,23 °C,Kingston,Sun 06:58,,28 °C,Santiago *,Sun 08:58,,8 °C
Bengaluru,Sun 17:28,,28 °C,Kinshasa,Sun 12:58,,31 °C,Santo Domingo,Sun 07:58,,27 °C
Berlin *,Sun 13:58,,18 °C,Kiritimati,Mon 01:58,,26 °C,São Paulo,Sun 08:58,,15 °C
Bogota,Sun 06:58,,7 °C,Kolkata,Sun 17:28,,28 °C,Seattle *,Sun 04:58,,17 °C
Boston *,Sun 07:58,,16 °C,Kuala Lumpur,Sun 19:58,,29 °C,Seoul,Sun 20:58,,24 °C
Brasilia,Sun 08:58,,22 °C,Kuwait City,Sun 14:58,,40 °C,Shanghai,Sun 19:58,,31 °C
Brisbane,Sun 21:58,,17 °C,Kyiv *,Sun 14:58,,21 °C,Singapore,Sun 19:58,,30 °C
Brussels *,Sun 13:58,,18 °C,La Paz,Sun 07:58,,-1 °C,Sofia *,Sun 14:58,,21 °C
Bucharest *,Sun 14:58,,26 °C,Lagos,Sun 12:58,,24 °C,St. John's *,Sun 09:28,,11 °C
Budapest *,Sun 13:58,,19 °C,Lahore,Sun 16:58,,36 °C,Stockholm *,Sun 13:58,,18 °C
Buenos Aires,Sun 08:58,,16 °C,Las Vegas *,Sun 04:58,,25 °C,Suva,Sun 23:58,,22 °C
Cairo *,Sun 14:58,,34 °C,Lima,Sun 06:58,,16 °C,Sydney,Sun 21:58,,18 °C
Calgary *,Sun 05:58,,11 °C,Lisbon *,Sun 12:58,,24 °C,Taipei,Sun 19:58,,30 °C
Canberra,Sun 21:58,,10 °C,London *,Sun 12:58,,15 °C,Tallinn *,Sun 14:58,,17 °C
Cape Town,Sun 13:58,,21 °C,Los Angeles *,Sun 04:58,,20 °C,Tashkent,Sun 16:58,,32 °C
Caracas,Sun 07:58,,26 °C,Madrid *,Sun 13:58,,26 °C,Tegucigalpa,Sun 05:58,,19 °C
Casablanca *,Sun 12:58,,27 °C,Managua,Sun 05:58,,24 °C,Tehran,Sun 15:28,,30 °C
Chicago *,Sun 06:58,,20 °C,Manila,Sun 19:58,,26 °C,Tokyo,Sun 20:58,,29 °C
Copenhagen *,Sun 13:58,,17 °C,Melbourne,Sun 21:58,,13 °C,Toronto *,Sun 07:58,,16 °C
Dallas *,Sun 06:58,,24 °C,Mexico City,Sun 05:58,,15 °C,Vancouver *,Sun 04:58,,16 °C
Dar es Salaam,Sun 14:58,,31 °C,Miami *,Sun 07:58,,24 °C,Vienna *,Sun 13:58,,19 °C
Darwin,Sun 21:28,,26 °C,Minneapolis *,Sun 06:58,,21 °C,Warsaw *,Sun 13:58,,17 °C
Denver *,Sun 05:58,,13 °C,Minsk,Sun 14:58,,22 °C,Washington DC *,Sun 07:58,,19 °C
Detroit *,Sun 07:58,,13 °C,Montevideo,Sun 08:58,,13 °C,Winnipeg *,Sun 06:58,,19 °C
Dhaka,Sun 17:58,,27 °C,Montréal *,Sun 07:58,,15 °C,Yangon,Sun 18:28,,28 °C
Doha,Sun 14:58,,36 °C,Moscow,Sun 14:58,,15 °C,Zagreb *,Sun 13:58,,24 °C
Dubai,Sun 15:58,,37 °C,Mumbai,Sun 17:28,,29 °C,Zürich *,Sun 13:58,,19 °C
